Hi all please always if theres a link press it first before applying the code,,,,,,
Brand Name,Brand Name (Arabic),Website / App,Coupon Code,Status,Countries,Discount Detail
800 flowers,800 flowers,,MM93,Active,UAE,15% OFF
Abdul Samad Al Qurashi,Abdul Samad Al Qurashi,,D37,Active,KSA UAE. KWT OMN USA,5%
Ace Hardware,إيس,,MPvGciD,Active,UAE,10% OFF on all product
Airalo,Airalo,,CR19,Active,,10% OFF
Al Dakheel Oud,Al Dakheel Oud,,CC6,Active,"KSA, KWT, UAE, QAT, BHR, OM",CC6
Al Mithaly,المثالي,,DD67,Active,KSA,"Vitamins & Minerals -10%,Slimming Products -10%,HeaIthy Snacks -10%,Packages / Subsci ptions - 10%,Discounted & Combos -2%,Proteins & Sports…"
Allbirds,أولبيردز,,MM69,Active,UAE & KWT,10% OFF on all products
Almatar,Almatar,,D16,Active,GCC,"7% discount Hotels,5% cashback flights"
ASQ,ASQ,,D37,Active,,D37
Bath & Body Works,Bath & Body Works,,ADMIT10,Active,MENA,See store for terms.
Beluar,Beluar,,S23,Active,,12% OFF
Blends,Blends,,ZOOM,Active,"UAE, KSA",ZOOM
Bloomingdales,Bloomingdales,,C186,Active,"UAE, KSA, KWT",15% OFF Only Full Price Items
Dabdoob,Dabdoob,,MM81,Active,KSA,Discount: 10% (sitewide)
Delicut,Delicut,https://delicut.ae/,DC8,Active,UAE,New: 20% / Old: 5%
Dr Nutrition,Dr Nutrition,,DD124,Active,GCC,"Protein: 5% OFF 
 Sports 10% OFF"
IZIL Beauty,IZIL Beauty,,CUD10,Active,"UAE, KSA, Bahrain, Qatar, Oman,",5% on all orders.
Jeeny,Jeeny,,AAH0,Active,,AAH0
Jetpac Global,Jetpac Global,,JP155,Active,"EGY, UAE, KSA, JOR, FRA, USA",JP155
Jomla,Jomla,https://jomla.ae/en/,WE23,Active,GCC,5 AED Off on All Products or its equivalent in other currencies
Kenzwoman,Kenzwoman,,K18,Active,,20 % on orders with minimum basket value 300 SAR for all users
Kiabi,Kiabi,,CAB4,Active,UAE,"15% OFF on ALL Items 
 for 100x use only"
Kiko Milano,Kiko Milano,,K36,Active,,K36
Lego,Lego,,MM154,Active,KSA,"10% off for new and returning users (capped to 75 SAR) excluding promo items, Exclusives sets, 5% off for new and returning users (excluding…"
Level Shoes,Level Shoes,,KYF,Active,,Coming soon
Magrabi,Magrabi,,MN8,Active,"KSA, UAE, QAT, EGY",Flat 10% Off Web/App: Web
Maje,Maje,,ZX24,Active,"UAE, KSA",15% OFF
Max Fashion,Max Fashion,,GG0,Active,"EGY, UAE, KSA, BHR, KWT, OMN",Coming soon
Mumzworld,Mumzworld,,CR2,Active,,10% Discount MENA Region
Namshi,Namshi,,POT39,Active,GCC,"20% OFF Full Price Products 
 5 % OFF for On Sale Products"
NANA,NANA,,PT39,Active,,"New user: 100% cashback up to 20 SAR
Old user: 15% cashback up to 15 SAR"
Naseem,Naseem,https://naseemsa.com/?lang=en,AA119,Active,KSA,10% Off
Nice,Nice,,D35,Active,,D35
Noon GCC,Noon GCC,,CH12,Active,,"New Users: 10% (AED 50) 
 Returning Users 5% (AED 10) (Cashback)"
Noon Minutes,Noon Minutes,,CH12,Active,GCC,"New User: 40% (3 Orders ONLY, MOV (AED 20)"
Noon Minutes,Noon Minutes,,NF10,Active,GCC,10% OFF up to 1 AED + free delivery
Nownow,Nownow,,NF10,Active,,10% off (up to 1 AED) + FREE delivery.
Osma,Osma,,N71,Active,Global,N71
Paris Gallery,Paris Gallery,https://www.parisgalleryme.com/en,BB53,Active,KSA,5% Off full price product
Petzone App,Petzone App,https://petzone.com/uae/en,PAI6,Active,"UAE, KSA",10% Full Price
Puma,Puma,,ONE,Active,"UAE, KSA",ONE
Rasees,Rasees,,R126,Active,KSA,7% OFF
Reef Perfumes,Reef Perfumes,,REE69,Active,GCC,5% OFF
Samsung,Samsung,https://www.samsung.com/sa_en/,AFM114,Active,"EGY, UAE, KSA, JOR, FRA, USA","Consumer Electronics: 15% discount
 MX Category (Mobiles, Tablets, Wearables): 5% discount
 or 200 OFF"
Shark Ninja,Shark Ninja,,SN76503,Active,UAE KSA,Discount: 11% - coupon need to use with affiliate links only
SKYO,SKYO,,CR30,Active,,17%
Sporter,Sporter,,SP61,Active,MENA,10% OFF
Squatwolf,Squatwolf,,RY15,Active,,15% off
Sun & Sand Sports,Sun & Sand Sports,,UKJ89,Active,UAE KSA KWT,Discount % Offered: 20%. Discount Capped At : AED/SAR 100.Discount Code Valid on: Full Priced Options (articles) only
Sun and Sand sports,Sun and Sand sports,,UKJ89,Active,,"20% off,Discount Capped At : Aed/Sar 100"
Swarovski,Swarovski,,CX139,Active,,5%
Under Armour,Under Armour,,GT37,Active,,10% OFF at (AED 100)
UnderArmour,UnderArmour,,GT37,Active,MENA,See store for terms.
Underhance,Underhance,,UH1,Active,,10%
Vogacloset,Vogacloset,,OPT5,Active,GCC,17% OFF
Waya,Waya,,WA108,Active,KSA,12% OFF
